LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1669722215.896180,1055004.000,35615,16,MY,1,100,61
1669722215.896180,1055004.000,35615,16,MY,1,100,61
1669722215.896180,1055004.000,35615,16,MY,1,100,61
1669722215.896180,1055004.000,35615,16,MY,1,100,59
1669722215.896180,1055004.000,35615,16,MY,1,100,60
1669722215.896180,1055004.000,35615,16,MY,1,100,59
1669722215.896180,1055004.000,35615,16,MY,1,100,61
1669722215.896180,1055004.000,35615,16,MY,1,100,61
1669722215.896180,1055004.000,35615,16,MY,1,100,61
1669722215.896180,1055004.000,35615,16,MY,1,100,61
1669722215.896180,1055004.000,35615,16,MY,1,100,60
1669722215.896180,1055004.000,35615,16,MY,1,100,60
1669722215.896180,1055004.000,35615,16,MY,1,100,61
1669722215.896180,1055004.000,35615,16,MY,1,100,60
1669722215.896180,1055004.000,35615,16,MY,1,100,61
1669722215.896180,1055004.000,35615,16,MY,1,100,61
1669722215.932350,1055039.333,35631,3,MY,1,100,60
1669722215.968521,1055074.667,35631,3,MY,1,100,61
1669722216.004691,1055110.000,35631,3,MY,1,100,60
1669722216.044615,1055149.000,35649,3,MY,1,100,61
1669722216.084539,1055188.000,35649,3,MY,1,100,61
1669722216.124464,1055227.000,35649,3,MY,1,100,60
1669722216.164388,1055266.000,35664,2,MY,1,100,60
1669722216.204312,1055305.000,35664,2,MY,1,100,61
1669722216.243553,1055343.333,35680,3,MY,1,100,60
1669722216.282795,1055381.667,35680,3,MY,1,100,60
1669722216.322037,1055420.000,35680,3,MY,1,100,61
1669722216.361961,1055459.000,35699,2,MY,1,100,61
1669722216.401885,1055498.000,35699,2,MY,1,100,61
1669722216.441809,1055537.000,35715,3,MY,1,100,61
1669722216.481733,1055576.000,35715,3,MY,1,100,60
1669722216.521657,1055615.000,35715,3,MY,1,100,61
1669722216.562605,1055655.000,35731,3,MY,1,100,60
1669722216.603552,1055695.000,35731,3,MY,1,100,61
1669722216.644500,1055735.000,35731,3,MY,1,100,60
1669722216.684424,1055774.000,35751,2,MY,1,100,61
1669722216.724348,1055813.000,35751,2,MY,1,100,61
1669722216.764272,1055852.000,35773,6,MY,1,100,61
1669722216.804196,1055891.000,35773,6,MY,1,100,61
1669722216.844121,1055930.000,35773,6,MY,1,100,60
1669722216.884045,1055969.000,35773,6,MY,1,100,61
1669722216.923969,1056008.000,35773,6,MY,1,100,61
1669722216.963893,1056047.000,35773,6,MY,1,100,61
1669722217.003817,1056086.000,35788,2,MY,1,100,60
1669722217.043741,1056125.000,35788,2,MY,1,100,61
1669722217.083324,1056163.667,35804,3,MY,1,100,60
1669722217.122906,1056202.333,35804,3,MY,1,100,60
1669722217.162489,1056241.000,35804,3,MY,1,100,62
1669722217.203437,1056281.000,35818,2,MY,1,100,60
1669722217.244385,1056321.000,35818,2,MY,1,100,61
1669722217.284309,1056360.000,35837,3,MY,1,100,60
1669722217.324233,1056399.000,35837,3,MY,1,100,61
1669722217.364157,1056438.000,35837,3,MY,1,100,61
1669722217.404081,1056477.000,35852,2,MY,1,100,61
1669722217.444005,1056516.000,35852,2,MY,1,100,60
1669722217.479493,1056550.667,35868,3,MY,1,100,59
1669722217.514981,1056585.333,35868,3,MY,1,100,60
1669722217.550469,1056620.000,35868,3,MY,1,100,60
1669722217.590394,1056659.000,35884,3,MY,1,100,60
1669722217.630318,1056698.000,35884,3,MY,1,100,61
1669722217.670242,1056737.000,35884,3,MY,1,100,61
1669722217.709483,1056775.333,35899,3,MY,1,100,61
1669722217.748725,1056813.667,35899,3,MY,1,100,61
1669722217.787966,1056852.000,35899,3,MY,1,100,61
1669722217.827891,1056891.000,35914,2,MY,1,100,61
1669722217.867815,1056930.000,35914,2,MY,1,100,61
1669722217.907739,1056969.000,35931,3,MY,1,100,61
1669722217.947663,1057008.000,35931,3,MY,1,100,60
1669722217.987587,1057047.000,35931,3,MY,1,100,61
1669722218.027511,1057086.000,35948,2,MY,1,100,61
1669722218.067435,1057125.000,35948,2,MY,1,100,61
1669722218.107359,1057164.000,35963,3,MY,1,100,61
1669722218.147283,1057203.000,35963,3,MY,1,100,61
1669722218.187207,1057242.000,35963,3,MY,1,100,59
1669722218.228155,1057282.000,35981,3,MY,1,100,61
1669722218.269103,1057322.000,35981,3,MY,1,100,61
1669722218.310050,1057362.000,35981,3,MY,1,100,61
1669722218.349975,1057401.000,35999,2,MY,1,100,60
1669722218.389899,1057440.000,35999,2,MY,1,100,61
1669722218.429823,1057479.000,36014,3,MY,1,100,60
1669722218.469747,1057518.000,36014,3,MY,1,100,61
1669722218.509671,1057557.000,36014,3,MY,1,100,61
1669722218.548571,1057595.000,36031,2,MY,1,100,61
1669722218.587471,1057633.000,36031,2,MY,1,100,60
1669722218.627396,1057672.000,36045,3,MY,1,100,61
1669722218.667320,1057711.000,36045,3,MY,1,100,60
1669722218.707244,1057750.000,36045,3,MY,1,100,60
1669722218.747168,1057789.000,36061,2,MY,1,100,60
1669722218.787092,1057828.000,36061,2,MY,1,100,60
1669722218.828040,1057868.000,36076,3,MY,1,100,60
1669722218.868988,1057908.000,36076,3,MY,1,100,59
1669722218.909935,1057948.000,36076,3,MY,1,100,60
1669722218.949859,1057987.000,36095,3,MY,1,100,61
1669722218.989783,1058026.000,36095,3,MY,1,100,61
1669722219.029707,1058065.000,36095,3,MY,1,100,60
