LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
0.101000,4128825.000,50422,14,MZ,1,100,-47
0.101000,4128825.000,50422,14,MZ,1,100,-49
0.101000,4128825.000,50422,14,MZ,1,100,-48
0.101000,4128825.000,50422,14,MZ,1,100,-47
0.101000,4128825.000,50422,14,MZ,1,100,-48
0.101000,4128825.000,50422,14,MZ,1,100,-46
0.101000,4128825.000,50422,14,MZ,1,100,-48
0.101000,4128825.000,50422,14,MZ,1,100,-48
0.101000,4128825.000,50422,14,MZ,1,100,-48
0.101000,4128825.000,50422,14,MZ,1,100,-49
0.101000,4128825.000,50422,14,MZ,1,100,-50
0.101000,4128825.000,50422,14,MZ,1,100,-48
0.101000,4128825.000,50422,14,MZ,1,100,-48
0.101000,4128825.000,50422,14,MZ,1,100,-48
0.140500,4128864.500,50439,2,MZ,1,100,-48
0.180000,4128904.000,50439,2,MZ,1,100,-49
0.219000,4128943.000,50456,3,MZ,1,100,-48
0.258000,4128982.000,50456,3,MZ,1,100,-48
0.297000,4129021.000,50456,3,MZ,1,100,-48
0.336000,4129060.000,50471,3,MZ,1,100,-48
0.375000,4129099.000,50471,3,MZ,1,100,-47
0.414000,4129138.000,50471,3,MZ,1,100,-48
0.453000,4129177.000,50487,2,MZ,1,100,-48
0.492000,4129216.000,50487,2,MZ,1,100,-49
0.530667,4129254.667,50503,3,MZ,1,100,-48
0.569333,4129293.333,50503,3,MZ,1,100,-48
0.608000,4129332.000,50503,3,MZ,1,100,-49
0.648000,4129372.000,50518,2,MZ,1,100,-48
0.688000,4129412.000,50518,2,MZ,1,100,-48
0.727667,4129451.667,50535,3,MZ,1,100,-48
0.767333,4129491.333,50535,3,MZ,1,100,-49
0.807000,4129531.000,50535,3,MZ,1,100,-48
0.841667,4129565.667,50549,3,MZ,1,100,-46
0.876333,4129600.333,50549,3,MZ,1,100,-48
0.911000,4129635.000,50549,3,MZ,1,100,-47
0.950000,4129674.000,50565,2,MZ,1,100,-48
0.989000,4129713.000,50565,2,MZ,1,100,-48
1.028000,4129752.000,50580,3,MZ,1,100,-48
1.067000,4129791.000,50580,3,MZ,1,100,-49
1.106000,4129830.000,50580,3,MZ,1,100,-47
1.145333,4129869.333,50599,3,MZ,1,100,-48
1.184667,4129908.667,50599,3,MZ,1,100,-48
1.224000,4129948.000,50599,3,MZ,1,100,-48
1.263000,4129987.000,50614,2,MZ,1,100,-47
1.302000,4130026.000,50614,2,MZ,1,100,-48
1.340667,4130064.667,50631,3,MZ,1,100,-47
1.379333,4130103.333,50631,3,MZ,1,100,-48
1.418000,4130142.000,50631,3,MZ,1,100,-47
1.456667,4130180.667,50647,3,MZ,1,100,-48
1.495333,4130219.333,50647,3,MZ,1,100,-47
1.534000,4130258.000,50647,3,MZ,1,100,-47
1.573000,4130297.000,50663,2,MZ,1,100,-47
1.612000,4130336.000,50663,2,MZ,1,100,-48
1.651667,4130375.667,50678,3,MZ,1,100,-48
1.691333,4130415.333,50678,3,MZ,1,100,-46
1.731000,4130455.000,50678,3,MZ,1,100,-49
1.770500,4130494.500,50694,2,MZ,1,100,-48
1.810000,4130534.000,50694,2,MZ,1,100,-48
1.849000,4130573.000,50709,3,MZ,1,100,-48
1.888000,4130612.000,50709,3,MZ,1,100,-47
1.927000,4130651.000,50709,3,MZ,1,100,-48
1.966000,4130690.000,50725,2,MZ,1,100,-47
2.005000,4130729.000,50725,2,MZ,1,100,-49
2.043333,4130767.333,50741,3,MZ,1,100,-48
2.081667,4130805.667,50741,3,MZ,1,100,-48
2.120000,4130844.000,50741,3,MZ,1,100,-48
2.159000,4130883.000,50759,3,MZ,1,100,-48
2.198000,4130922.000,50759,3,MZ,1,100,-48
2.237000,4130961.000,50759,3,MZ,1,100,-48
2.277000,4131001.000,50773,2,MZ,1,100,-47
2.317000,4131041.000,50773,2,MZ,1,100,-49
2.356667,4131080.667,50789,3,MZ,1,100,-48
2.396333,4131120.333,50789,3,MZ,1,100,-48
2.436000,4131160.000,50789,3,MZ,1,100,-48
2.475000,4131199.000,50805,2,MZ,1,100,-48
2.514000,4131238.000,50805,2,MZ,1,100,-48
2.548667,4131272.667,50821,3,MZ,1,100,-47
2.583333,4131307.333,50821,3,MZ,1,100,-47
2.618000,4131342.000,50821,3,MZ,1,100,-48
2.657000,4131381.000,50835,3,MZ,1,100,-47
2.696000,4131420.000,50835,3,MZ,1,100,-47
2.735000,4131459.000,50835,3,MZ,1,100,-48
2.773333,4131497.333,50852,3,MZ,1,100,-48
2.811667,4131535.667,50852,3,MZ,1,100,-48
2.850000,4131574.000,50852,3,MZ,1,100,-46
2.889000,4131613.000,50867,2,MZ,1,100,-48
2.928000,4131652.000,50867,2,MZ,1,100,-48
2.967000,4131691.000,50885,3,MZ,1,100,-48
3.006000,4131730.000,50885,3,MZ,1,100,-47
3.045000,4131769.000,50885,3,MZ,1,100,-46
3.084000,4131808.000,50900,2,MZ,1,100,-49
3.123000,4131847.000,50900,2,MZ,1,100,-48
3.162000,4131886.000,50918,3,MZ,1,100,-47
3.201000,4131925.000,50918,3,MZ,1,100,-48
3.240000,4131964.000,50918,3,MZ,1,100,-46
3.279000,4132003.000,50933,3,MZ,1,100,-47
3.318000,4132042.000,50933,3,MZ,1,100,-48
3.357000,4132081.000,50933,3,MZ,1,100,-48
3.395500,4132119.500,50950,2,MZ,1,100,-48
3.434000,4132158.000,50950,2,MZ,1,100,-48
3.472667,4132196.667,50965,3,MZ,1,100,-47
3.511333,4132235.333,50965,3,MZ,1,100,-48
3.550000,4132274.000,50965,3,MZ,1,100,-48
3.589000,4132313.000,50980,2,MZ,1,100,-48
3.628000,4132352.000,50980,2,MZ,1,100,-48
3.667000,4132391.000,50996,3,MZ,1,100,-49
3.706000,4132430.000,50996,3,MZ,1,100,-47
3.745000,4132469.000,50996,3,MZ,1,100,-47
3.784000,4132508.000,51012,3,MZ,1,100,-48
3.823000,4132547.000,51012,3,MZ,1,100,-48
3.862000,4132586.000,51012,3,MZ,1,100,-46
3.902000,4132626.000,51027,2,MZ,1,100,-48
3.942000,4132666.000,51027,2,MZ,1,100,-47
